time,location,location_encoded,app_num,app_num_encoded,phone_num,phone_num_encoded,onsite_num,onsite_num_encoded,offer_num,offer_num_encoded,offer_status,offer_got_offer,looking_fulltime,edu,edu_encoded,job_type,job_dev,job_mkt,job_fin,job_eng,job_sci,job_cons,job_acct,job_data,job_other
11/27/2018 21:20:39,The US,US,500,500,15,15,1,1,,,I'm still looking for a full-time offer!,0,1,,,Software Development,1,0,0,0,0,0,0,0,0
11/27/2018 22:35:42,Canada,O,2,2,2,2,1,1,,,I'm still looking for a full-time offer!,0,1,,,Software Development,1,0,0,0,0,0,0,0,0
11/28/2018 13:32:27,The US,US,More than 100 applications,100,2,2,1,1,,,I'm still looking for a full-time offer!,0,1,,,Software Development,1,0,0,0,0,0,0,0,0
11/29/2018 5:42:19,"The US, The UK",M,120,120,18,18,3,3,,,I'm still looking for a full-time offer!,0,1,,,Marketing,0,1,0,0,0,0,0,0,0
11/29/2018 12:53:20,The US,US,80,80,20,20,10,10,2,2,"Yes, working/going to work full-time (mình đang đi làm hoặc đã có offer full-time)",1,1,"Working < 5 years, switching jobs (đã đi làm < 5 năm & đang đổi việc)",w,Finance (Tài chính),0,0,1,0,0,0,0,0,0
11/29/2018 12:57:14,The US,US,>100,100,10,10,1,1,,,I'm still looking for a full-time offer! (Mình vẫn đang chờ việc full time),0,1,"Senior/Final year (SV năm cuối) <-- check this option if this is your final year, even if it's your 3rd or 5th year",u,Design,0,0,0,0,0,0,0,0,1
11/29/2018 13:03:55,The US,US,50,50,3,3,1,1,1,1,"Yes, working/going to work full-time (mình đang đi làm hoặc đã có offer full-time)",1,1,"Working 5-10 years, switching jobs (đã đi làm 5-10 năm, đang đổi việc)",w,Finance (Tài chính),0,0,1,0,0,0,0,0,0
11/29/2018 13:06:06,The US,US,1,1,2,2,1,1,1,1,"Yes, working/going to work full-time (mình đang đi làm hoặc đã có offer full-time)",1,1,"Working 5-10 years, switching jobs (đã đi làm 5-10 năm, đang đổi việc)",w,Software Development (Lập trình),1,0,0,0,0,0,0,0,0
11/29/2018 13:13:22,The US,US,20-50. I did not really keep track,35,7,7,6,6,3,3,"Yes, working/going to work full-time (mình đang đi làm hoặc đã có offer full-time)",1,1,"Working 5-10 years, switching jobs (đã đi làm 5-10 năm, đang đổi việc)",w,Research (Nghiên cứu khoa học),0,0,0,0,1,0,0,0,0
11/29/2018 13:19:33,Vietnam,V,2,2,Chua tung phong van qua dien thoai,NaM,2,2,2,2,"Yes, working/going to work full-time (mình đang đi làm hoặc đã có offer full-time)",1,1,"Working < 5 years, switching jobs (đã đi làm < 5 năm & đang đổi việc)",w,"Finance (Tài chính), Marketing",0,1,1,0,0,0,0,0,0
11/29/2018 13:23:35,The US,US,300,300,100,100,5,5,,,I'm still looking for a full-time offer! (Mình vẫn đang chờ việc full time),0,1,"Working < 5 years, switching jobs (đã đi làm < 5 năm & đang đổi việc)",w,Product Manager in Tech,0,0,0,0,0,0,0,0,1
11/29/2018 13:27:40,The US,US,7,7,5,5,0,0,,,I'm still looking for a full-time offer! (Mình vẫn đang chờ việc full time),0,1,PhD (Mới tốt nghiệp Tiến sĩ),g,"Consulting (Tư vấn), Research (Nghiên cứu khoa học)",0,0,0,0,1,1,0,0,0
11/29/2018 13:40:58,The US,US,500,500,30,30,20,20,3,3,"Yes, working/going to work full-time (mình đang đi làm hoặc đã có offer full-time)",1,1,"Working 5-10 years, switching jobs (đã đi làm 5-10 năm, đang đổi việc)",w,Finance (Tài chính),0,0,1,0,0,0,0,0,0
11/29/2018 13:43:11,The US,US,~ 5 applications/day x 3 days/week for about a month,60,~ 3 ( not including assessment tests),3,3,3,2,2,"Yes, working/going to work full-time (mình đang đi làm hoặc đã có offer full-time)",1,1,"Senior/Final year (SV năm cuối) <-- check this option if this is your final year, even if it's your 3rd or 5th year",u,,0,0,0,0,0,0,0,0,0
11/29/2018 13:43:33,The US,US,~150,150,30-40 including calls from recruiters/employers without applying,35,3,3,2,2,"Yes, working/going to work full-time (mình đang đi làm hoặc đã có offer full-time)",1,1,"Working < 5 years, switching jobs (đã đi làm < 5 năm & đang đổi việc)",w,Data analytics ,0,0,0,0,0,0,0,1,0
11/29/2018 13:49:01,The US,US,40,40,10,10,3,3,1,1,"Yes, working/going to work full-time (mình đang đi làm hoặc đã có offer full-time)",1,1,MBA,g,Marketing,0,1,0,0,0,0,0,0,0
11/29/2018 13:51:16,The US,US,>200,200,>20,20,5-8,7,2,2,"Yes, working/going to work full-time (mình đang đi làm hoặc đã có offer full-time)",1,1,MBA,g,Marketing,0,1,0,0,0,0,0,0,0
11/29/2018 13:52:03,The US,US,About 20+,20,3+,3,2,2,3,3,"Yes, working/going to work full-time (mình đang đi làm hoặc đã có offer full-time)",1,1,"Working 5-10 years, switching jobs (đã đi làm 5-10 năm, đang đổi việc)",w,Marketing,0,1,0,0,0,0,0,0,0
11/29/2018 13:56:19,The US,US,82,82,20,20,0,0,,,I'm still looking for a full-time offer! (Mình vẫn đang chờ việc full time),0,1,MBA,g,Research (Nghiên cứu khoa học),0,0,0,0,1,0,0,0,0
11/29/2018 14:01:38,The US,US,400,400,7,7,6,6,3,3,"Yes, working/going to work full-time (mình đang đi làm hoặc đã có offer full-time)",1,1,PhD (Mới tốt nghiệp Tiến sĩ),g,Consulting (Tư vấn),0,0,0,0,0,1,0,0,0
11/29/2018 14:08:47,The US,US,300,300,80,80,40,40,7,7,"Yes, working/going to work full-time (mình đang đi làm hoặc đã có offer full-time)",1,1,"Working < 5 years, switching jobs (đã đi làm < 5 năm & đang đổi việc)",w,Finance (Tài chính),0,0,1,0,0,0,0,0,0
11/29/2018 14:12:57,The US,US,3,3,1,1,1,1,1,1,"Yes, working/going to work full-time (mình đang đi làm hoặc đã có offer full-time)",1,1,,,Finance (Tài chính),0,0,1,0,0,0,0,0,0
